timestamp,twelvedata,finage,yahoo_finance
1631384890,247.00000,246.5,251.54
1631384957,247.00000,246.5,251.54
1631385022,247.00000,246.5,251.54
1631385086,247.00000,246.5,251.54
1631385150,247.00000,246.5,251.54
1631385214,247.00000,246.5,251.54
1631385279,247.00000,246.5,251.54
1631385343,247.00000,246.5,251.54
1631385407,247.00000,246.5,251.54
1631385471,247.00000,246.5,251.54
1631385535,247.00000,246.5,251.54
1631385599,247.00000,246.5,251.54
1631385664,247.00000,246.5,251.54
1631385728,247.00000,246.5,251.54
1631385792,247.00000,246.5,251.54
1631385856,247.00000,246.5,251.54
1631385920,247.00000,246.5,251.54
1631385984,247.00000,246.5,251.54
1631386048,247.00000,246.5,251.54
1631386112,247.00000,246.5,251.54
1631386176,247.00000,246.5,251.54
1631386240,247.00000,246.5,251.54
1631386305,247.00000,246.5,251.54
1631386369,247.00000,246.5,251.54
1631386433,247.00000,246.5,251.54
1631386497,247.00000,246.5,251.54
1631386561,247.00000,246.5,251.54
1631386625,247.00000,246.5,251.54
1631386690,247.00000,246.5,251.54
1631386754,247.00000,246.5,251.54
1631386818,247.00000,246.5,251.54
1631386882,247.00000,246.5,251.54
1631386946,247.00000,246.5,251.54
1631387010,247.00000,246.5,251.54
1631387074,247.00000,246.5,251.54
1631387138,247.00000,246.5,251.54
1631387203,247.00000,246.5,251.54
1631387268,247.00000,246.5,251.54
1631387332,247.00000,246.5,251.54
1631387396,247.00000,246.5,251.54
1631387460,247.00000,246.5,251.54
1631387524,247.00000,246.5,251.54
1631387588,247.00000,246.5,251.54
1631387653,247.00000,246.5,251.54
1631387717,247.00000,246.5,251.54
1631387782,247.00000,246.5,251.54
1631387846,247.00000,246.5,251.54
1631387910,247.00000,246.5,251.54
1631387975,247.00000,246.5,251.54
1631388041,247.00000,246.5,251.54
1631388106,247.00000,246.5,251.54
1631388171,247.00000,246.5,251.54
1631388235,247.00000,246.5,251.54
1631388300,247.00000,246.5,251.54
1631388364,247.00000,246.5,251.54
1631388429,247.00000,246.5,251.54
1631388493,247.00000,246.5,251.54
1631388557,247.00000,246.5,251.54
1631388622,247.00000,246.5,251.54
1631388686,247.00000,246.5,251.54
1631388750,247.00000,246.5,251.54
1631388814,247.00000,246.5,251.54
1631388879,247.00000,246.5,251.54
1631388943,247.00000,246.5,251.54
1631389007,247.00000,246.5,251.54
1631389072,247.00000,246.5,251.54
1631389136,247.00000,246.5,251.54
1631389201,247.00000,246.5,251.54
1631389265,247.00000,246.5,251.54
1631389330,247.00000,246.5,251.54
1631389394,247.00000,246.5,251.54
1631389458,247.00000,246.5,251.54
1631389522,247.00000,246.5,251.54
1631389587,247.00000,246.5,251.54
1631389651,247.00000,246.5,251.54
1631389716,247.00000,246.5,251.54
1631389780,247.00000,246.5,251.54
1631389844,247.00000,246.5,251.54
1631389908,247.00000,246.5,251.54
1631389973,247.00000,246.5,251.54
1631390037,247.00000,246.5,251.54
1631390101,247.00000,246.5,251.54
1631390166,247.00000,246.5,251.54
1631390230,247.00000,246.5,251.54
1631390294,247.00000,246.5,251.54
