timestamp,twelvedata,finage,yahoo_finance
1631384890,120.18000,120.46,121.71
1631384957,120.18000,120.46,121.71
1631385022,120.18000,120.46,121.71
1631385086,120.18000,120.46,121.71
1631385150,120.18000,120.46,121.71
1631385214,120.18000,120.46,121.71
1631385279,120.18000,120.46,121.71
1631385343,120.18000,120.46,121.71
1631385407,120.18000,120.46,121.71
1631385471,120.18000,120.46,121.71
1631385535,120.18000,120.46,121.71
1631385599,120.18000,120.46,121.71
1631385664,120.18000,120.46,121.71
1631385728,120.18000,120.46,121.71
1631385792,120.18000,120.46,121.71
1631385856,120.18000,120.46,121.71
1631385920,120.18000,120.46,121.71
1631385984,120.18000,120.46,121.71
1631386048,120.18000,120.46,121.71
1631386112,120.18000,120.46,121.71
1631386176,120.18000,120.46,121.71
1631386240,120.18000,120.46,121.71
1631386305,120.18000,120.46,121.71
1631386369,120.18000,120.46,121.71
1631386433,120.18000,120.46,121.71
1631386497,120.18000,120.46,121.71
1631386561,120.18000,120.46,121.71
1631386625,120.18000,120.46,121.71
1631386690,120.18000,120.46,121.71
1631386754,120.18000,120.46,121.71
1631386818,120.18000,120.46,121.71
1631386882,120.18000,120.46,121.71
1631386946,120.18000,120.46,121.71
1631387010,120.18000,120.46,121.71
1631387074,120.18000,120.46,121.71
1631387138,120.18000,120.46,121.71
1631387203,120.18000,120.46,121.71
1631387268,120.18000,120.46,121.71
1631387332,120.18000,120.46,121.71
1631387396,120.18000,120.46,121.71
1631387460,120.18000,120.46,121.71
1631387524,120.18000,120.46,121.71
1631387588,120.18000,120.46,121.71
1631387653,120.18000,120.46,121.71
1631387717,120.18000,120.46,121.71
1631387782,120.18000,120.46,121.71
1631387846,120.18000,120.46,121.71
1631387910,120.18000,120.46,121.71
1631387975,120.18000,120.46,121.71
1631388041,120.18000,120.46,121.71
1631388106,120.18000,120.46,121.71
1631388171,120.18000,120.46,121.71
1631388235,120.18000,120.46,121.71
1631388300,120.18000,120.46,121.71
1631388364,120.18000,120.46,121.71
1631388429,120.18000,120.46,121.71
1631388493,120.18000,120.46,121.71
1631388557,120.18000,120.46,121.71
1631388622,120.18000,120.46,121.71
1631388686,120.18000,120.46,121.71
1631388750,120.18000,120.46,121.71
1631388814,120.18000,120.46,121.71
1631388879,120.18000,120.46,121.71
1631388943,120.18000,120.46,121.71
1631389007,120.18000,120.46,121.71
1631389072,120.18000,120.46,121.71
1631389136,120.18000,120.46,121.71
1631389201,120.18000,120.46,121.71
1631389265,120.18000,120.46,121.71
1631389330,120.18000,120.46,121.71
1631389394,120.18000,120.46,121.71
1631389458,120.18000,120.46,121.71
1631389522,120.18000,120.46,121.71
1631389587,120.18000,120.46,121.71
1631389651,120.18000,120.46,121.71
1631389716,120.18000,120.46,121.71
1631389780,120.18000,120.46,121.71
1631389844,120.18000,120.46,121.71
1631389908,120.18000,120.46,121.71
1631389973,120.18000,120.46,121.71
1631390037,120.18000,120.46,121.71
1631390101,120.18000,120.46,121.71
1631390166,120.18000,120.46,121.71
1631390230,120.18000,120.46,121.71
1631390294,120.18000,120.46,121.71
1631390359,120.18000,120.46,121.71
1631390423,120.18000,120.46,121.71
1631390488,120.18000,120.46,121.71
1631390552,120.18000,120.46,121.71
1631390616,120.18000,120.46,121.71
1631390681,120.18000,120.46,121.71
1631390745,120.18000,120.46,121.71
1631390809,120.18000,120.46,121.71
1631390873,120.18000,120.46,121.71
1631390937,120.18000,120.46,121.71
1631391001,120.18000,120.46,121.71
